Timestamp,          Open, High, Low, Close, Volume, Open Interest
2026-03-02 14:45:59,25070,25098,24972,25003.3,610350,14260870
2026-03-02 14:46:59,25007.8,25025,24982.6,24998,217425,14381575
2026-03-02 14:47:59,24997.7,25051.9,24997.7,25032.4,146120,14381575
2026-03-02 14:48:59,25031,25053.5,25014,25020,148460,14381575
2026-03-02 14:49:59,25022.2,25050,25019.1,25050,76635,14424150
2026-03-02 14:50:59,25050,25095.9,25045,25083.4,110435,14424150
2026-03-02 14:51:59,25085.8,25117.3,25079.9,25080.5,113750,14424150
2026-03-02 14:52:59,25081.6,25096.4,25065.5,25080,129545,14469260
2026-03-02 14:53:59,25082,25083.2,25036,25042.9,121420,14469260
2026-03-02 14:54:59,25049.3,25062.9,25041,25050.5,65780,14469260
2026-03-02 14:55:59,25050.5,25050.5,25023.3,25026.1,60385,14624935
2026-03-02 14:56:59,25026.1,25050,25018.6,25050,59410,14624935
2026-03-02 14:57:59,25050,25073.7,25042.4,25064.5,41145,14624935
2026-03-02 14:58:59,25065.8,25085,25065.2,25085,35165,14621685
2026-03-02 14:59:59,25085,25085,25040.1,25050,35035,14621685
2026-03-02 15:00:59,25050,25086,25046.8,25086,40170,14621685
2026-03-02 15:01:59,25086,25095,25080,25087.3,43615,14625845
2026-03-02 15:02:59,25087.3,25098,25075,25097.8,47385,14625845
2026-03-02 15:03:59,25097,25136,25095,25129,74425,14625845
2026-03-02 15:04:59,25129,25145,25127.5,25145,57915,14607515
2026-03-02 15:05:59,25145,25147,25126,25140.2,38155,14607515
2026-03-02 15:06:59,25135.4,25144.7,25110.2,25113.7,35295,14607515
2026-03-02 15:07:59,25118.9,25123.6,25086.1,25100,40170,14610830
2026-03-02 15:08:59,25096.2,25122.8,25090,25110.6,42445,14610830
2026-03-02 15:09:59,25110.6,25122,25105.8,25113.1,28210,14610830
2026-03-02 15:10:59,25119.6,25145,25115.1,25119.4,50635,14632215
2026-03-02 15:11:59,25116.5,25143.4,25101,25125,47190,14632215
2026-03-02 15:12:59,25125.7,25133.7,25118.9,25128.8,16640,14632215
2026-03-02 15:13:59,25133,25140,25123.4,25125.2,12610,14622530
2026-03-02 15:14:59,25125.2,25135,25120,25128.3,14885,14622530
2026-03-02 15:15:59,25124.5,25139,25123.1,25126.5,16055,14622530
2026-03-02 15:16:59,25126,25139.6,25114.7,25139.4,12285,14625520
2026-03-02 15:17:59,25139.4,25143,25130.5,25141.9,24245,14625520
2026-03-02 15:18:59,25142.3,25151,25131,25131,42510,14625520
2026-03-02 15:19:59,25133.5,25133.5,25106.3,25106.3,14170,14615055
2026-03-02 15:20:59,25106.3,25109,25087.3,25101.3,29120,14615055
2026-03-02 15:21:59,25101.4,25108,25080,25099.7,31980,14615055
2026-03-02 15:22:59,25105.1,25105.1,25076,25076,20150,14628900
2026-03-02 15:23:59,25071,25078.1,25060,25060,50115,14628900
2026-03-02 15:24:59,25059.9,25068.1,25042.2,25044.8,60775,14628900
